,id_carrera,nombre_carrera,descripcion_carrera,estado_carrera,fecha_inicio_vigencia_carrera,modalidad,jornada
20,17c74de6-6944-11ed-b07a-0242ac1c0002,Ingeniería en Colchonero,Dignissimos commodi voluptatem aliquid quae quam provident harum. Eum repudiandae dignissimos voluptatibus.,Activo,1949-06-19,Presencial,Matutina
21,17c7591c-6944-11ed-b07a-0242ac1c0002,Ingeniería en Catador de alimentos y bebidas,Sint nostrum distinctio reiciendis error quam magni. Vel cumque nesciunt aliquid officia optio distinctio nisi. Consequatur atque impedit rerum odit autem.,Activo,1952-08-15,Presencial,Vespertina
22,17c75a02-6944-11ed-b07a-0242ac1c0002,Ingeniería en Agente de servicios de expedición de licencias y permisos,Voluptate consequatur temporibus ea quos nam quaerat. Quasi maxime eum debitis repellendus voluptate eligendi provident. Delectus consequuntur soluta quam.,Activo,1956-11-09,Presencial,En linea
23,17c75ad4-6944-11ed-b07a-0242ac1c0002,Licenciatura en Alfarero,Aut consequuntur eligendi quae. Numquam ullam ipsum.,Inactivo,1972-06-24,En linea,Intensiva
24,17c75b9c-6944-11ed-b07a-0242ac1c0002,"Ingeniería en Operador de máquinas de blanqueamiento, teñido y limpieza de tejidos",Iure voluptas nobis mollitia adipisci nobis eos aliquam. Voluptatum nihil consequuntur sapiente mollitia eaque.,Inactivo,1971-01-21,En linea,Intensiva
25,17c76e66-6944-11ed-b07a-0242ac1c0002,Licenciatura en Pulidor de vidrio,Sint vitae necessitatibus doloremque. Reiciendis at incidunt odio fugit. Minima accusantium nesciunt omnis. Dolorum debitis doloremque.,Inactivo,1964-10-03,En linea,En linea
26,17c76f56-6944-11ed-b07a-0242ac1c0002,Licenciatura en Controlador de procesos,Ex eos fugit nesciunt. Et dolorem aliquid soluta. Est provident rem nostrum architecto.,Activo,1965-10-13,Presencial,Vespertina
27,17c77014-6944-11ed-b07a-0242ac1c0002,Tecnología en Diseñador multimedia,Reiciendis nemo assumenda quis.,Inactivo,1959-09-16,Distancia,Vespertina
28,17c770be-6944-11ed-b07a-0242ac1c0002,Tecnología en Mecánico y reparador de motores de avión,Cum totam praesentium iure maxime. Repudiandae corrupti quae rem et deleniti assumenda. Eligendi at ea quas ipsam repellendus.,Inactivo,1956-10-05,Presencial,Intensiva
29,17c7715e-6944-11ed-b07a-0242ac1c0002,Tecnología en Dentista,Repudiandae sunt exercitationem doloribus blanditiis sunt soluta sed. Consequatur itaque odit. Animi error ab iure.,Inactivo,1962-05-10,Distancia,En linea
30,17c77208-6944-11ed-b07a-0242ac1c0002,Licenciatura en Reponedor de estanterías,Architecto consectetur eaque repudiandae sequi tenetur. Rerum pariatur ea iusto iste beatae velit.,Activo,1964-07-12,Presencial,Vespertina
31,17c772bc-6944-11ed-b07a-0242ac1c0002,Licenciatura en Instructor de autoescuela,Quis sed quam praesentium officiis nemo. Deserunt doloribus asperiores dolor explicabo. Libero rerum placeat ad unde.,Activo,1956-01-27,Distancia,En linea
32,17c77370-6944-11ed-b07a-0242ac1c0002,Tecnología en Supervisor de tiendas y almacenes,Placeat nesciunt inventore quos. Eveniet quisquam ducimus officiis laborum dolore eligendi. Officia quae voluptatibus ipsam. Eos molestias ea fuga quod ut.,Activo,1974-07-08,Distancia,Intensiva
33,17c77528-6944-11ed-b07a-0242ac1c0002,Licenciatura en Ayudante de cocina,Est porro aperiam quaerat optio ullam laboriosam quae. Nobis magni sed temporibus maiores.,Inactivo,1973-07-17,Presencial,En linea
34,17c775d2-6944-11ed-b07a-0242ac1c0002,Tecnología en Revocador,Consequatur culpa ducimus illo assumenda. Commodi non necessitatibus excepturi nulla animi facere. Voluptatibus modi repellat consequatur a.,Inactivo,1961-06-12,Presencial,En linea
35,17c7767c-6944-11ed-b07a-0242ac1c0002,Licenciatura en Actuario,Doloremque at deleniti ea aliquam modi soluta. Eius neque voluptates animi nostrum deleniti.,Activo,1942-05-26,Presencial,Vespertina
36,17c77730-6944-11ed-b07a-0242ac1c0002,Licenciatura en Especialista en políticas y servicios de personal,Nostrum expedita hic possimus dolorem. Ipsam neque at exercitationem dolorum tempore unde.,Inactivo,1976-05-20,En linea,Intensiva
37,17c77820-6944-11ed-b07a-0242ac1c0002,Licenciatura en Peón de explotaciones agrícolas,Animi autem ipsum ducimus nemo asperiores commodi. Consequatur maxime saepe numquam delectus placeat id.,Activo,1959-12-22,Presencial,Matutina
38,17c778e8-6944-11ed-b07a-0242ac1c0002,Ingeniería en Ingeniero industrial,Fuga tempore quo accusamus officia. Exercitationem exercitationem nihil cum et delectus cum maxime. Debitis consequatur voluptates dicta doloremque accusamus mollitia facilis.,Activo,1940-03-01,En linea,Vespertina
39,17c7799c-6944-11ed-b07a-0242ac1c0002,Ingeniería en Entrevistador de investigaciones de mercados,Expedita accusamus ex consequuntur quidem. Quae animi autem est minima autem adipisci totam.,Activo,1979-12-09,Distancia,Matutina
40,17c77aa0-6944-11ed-b07a-0242ac1c0002,Licenciatura en Chapista,Cum sapiente enim temporibus quis ab optio. Officia inventore magni sit vitae.,Activo,1975-05-20,Distancia,En linea
41,17c77b54-6944-11ed-b07a-0242ac1c0002,Ingeniería en Cuidador de niños,Quidem tenetur fugit sint sed repudiandae deleniti. Sequi illum vero amet tempore.,Activo,1978-04-24,Distancia,En linea
42,17c77bfe-6944-11ed-b07a-0242ac1c0002,Licenciatura en Paisajista,Nisi deleniti illum numquam. Hic incidunt veniam soluta optio ab nobis.,Inactivo,1954-04-13,Distancia,En linea
43,17c78ec8-6944-11ed-b07a-0242ac1c0002,Ingeniería en Barrendero,Rem error dolorem libero animi doloribus reiciendis. Voluptatum laudantium reprehenderit harum porro enim.,Activo,1965-01-23,Distancia,Matutina
44,17c79030-6944-11ed-b07a-0242ac1c0002,Ingeniería en Minero,Dolore sed voluptatibus est totam. Cupiditate iste recusandae nemo sequi optio. Eos sit voluptates praesentium eveniet distinctio dicta.,Activo,1977-12-26,Presencial,Matutina
45,17c790ee-6944-11ed-b07a-0242ac1c0002,Ingeniería en Cajero de banco,Corrupti quibusdam id nostrum. Cum perspiciatis deleniti animi repellat. Placeat eum hic rem deleniti assumenda modi.,Activo,1960-05-28,Distancia,Matutina
46,17c791a2-6944-11ed-b07a-0242ac1c0002,Licenciatura en Trabajador comunitario de la salud,Velit fuga optio veniam quisquam nemo occaecati. Nesciunt asperiores magnam voluptates veniam cumque. Distinctio recusandae hic accusamus.,Activo,1958-02-02,Distancia,Intensiva
47,17c7924c-6944-11ed-b07a-0242ac1c0002,Ingeniería en Curtidor,Voluptas dicta sint facere molestiae occaecati.,Activo,1975-03-07,En linea,Vespertina
48,17c792f6-6944-11ed-b07a-0242ac1c0002,Tecnología en Compositor,Suscipit eum perspiciatis dicta tempore iste omnis. Porro quam quod sunt.,Activo,1948-05-11,Distancia,Vespertina
49,17c7938c-6944-11ed-b07a-0242ac1c0002,Licenciatura en Empleado de agencia de viajes,Amet perspiciatis nostrum enim dolore corrupti.,Activo,1978-11-27,En linea,Vespertina
50,17c79422-6944-11ed-b07a-0242ac1c0002,Ingeniería en Oficial de las fuerzas armadas,Explicabo assumenda dolore accusantium rem. Quia pariatur consequuntur magni quas.,Inactivo,1979-06-13,Presencial,Intensiva
51,17c794c2-6944-11ed-b07a-0242ac1c0002,Licenciatura en Conductor de camiones pesados,Illum nam amet ab eos ab. Aliquam provident non at recusandae.,Inactivo,1968-09-24,Distancia,Intensiva
52,17c79562-6944-11ed-b07a-0242ac1c0002,Ingeniería en Comerciante de tiendas,Quam odio in ratione optio vel. Repudiandae illo veritatis optio vero recusandae commodi. Voluptates aliquam veniam rem labore ratione earum.,Inactivo,1944-12-10,Presencial,En linea
53,17c7960c-6944-11ed-b07a-0242ac1c0002,Licenciatura en Director de ventas y comercialización,Praesentium cupiditate maxime possimus minima dolore accusantium. Perferendis perspiciatis quo veniam ex ut modi magni.,Activo,1948-10-26,Presencial,En linea
54,17c796ac-6944-11ed-b07a-0242ac1c0002,Licenciatura en Juez,Rem veniam repellendus sapiente. Rem ad tenetur quis nesciunt. Ullam expedita iure autem minima dolorum ipsa minus. Recusandae dolorum vero totam.,Activo,1972-08-05,Presencial,Matutina
55,17c79756-6944-11ed-b07a-0242ac1c0002,Tecnología en Mampostero,Enim soluta nostrum vel quam ratione praesentium molestiae. Quia enim ipsum blanditiis et.,Inactivo,1977-06-20,Presencial,Matutina
56,17c7980a-6944-11ed-b07a-0242ac1c0002,Tecnología en Peón de explotaciones ganaderas,Provident quod quod sed iste nihil modi. Facilis ea laborum delectus adipisci quibusdam tenetur ad. Sunt et ab fugit ullam deleniti.,Inactivo,1957-05-09,En linea,Vespertina
57,17c798aa-6944-11ed-b07a-0242ac1c0002,Tecnología en Agente de compras,Corporis ab ipsam hic fuga repellat vitae. Quia itaque pariatur architecto. Distinctio pariatur quasi aliquam. Ad accusamus quo reprehenderit eligendi sed dolorum.,Activo,1940-10-22,En linea,Intensiva
58,17c79954-6944-11ed-b07a-0242ac1c0002,Licenciatura en Ingeniero civil,Asperiores asperiores repellat. Optio et culpa veritatis. Deserunt dolores illo voluptas optio minus.,Activo,1967-10-29,En linea,Matutina
59,17c79a12-6944-11ed-b07a-0242ac1c0002,Ingeniería en Secretario administrativo,Ducimus ipsum consequuntur officia aspernatur. Temporibus libero corrupti aperiam quae tenetur quaerat hic.,Inactivo,1979-05-16,Distancia,Intensiva
60,17c79b66-6944-11ed-b07a-0242ac1c0002,Tecnología en Planchador manuales,Libero ea doloribus eos tenetur facilis. Numquam repellendus vel earum sapiente adipisci recusandae. Placeat dolore odit ratione beatae possimus velit neque. Tempora iusto cupiditate voluptas eveniet iure nisi doloribus.,Activo,1953-10-13,En linea,Intensiva
61,17c79c24-6944-11ed-b07a-0242ac1c0002,Licenciatura en Grabador de piedra,Distinctio consequuntur tenetur officiis. Tenetur ut officiis quo. Tenetur voluptates libero beatae quidem impedit consequuntur.,Activo,1970-07-13,En linea,Matutina
62,17c79cd8-6944-11ed-b07a-0242ac1c0002,Licenciatura en Asistente de venta,Reprehenderit tenetur magnam sit itaque quae eos. Sequi soluta autem cumque. Dolores possimus animi.,Inactivo,1954-11-26,Presencial,En linea
63,17c79d8c-6944-11ed-b07a-0242ac1c0002,Ingeniería en Colchonero,Saepe quo aperiam explicabo nemo dignissimos. Animi fugiat eius.,Inactivo,1953-08-17,Distancia,Intensiva
64,17c79e2c-6944-11ed-b07a-0242ac1c0002,Licenciatura en Estadístico,Dignissimos ad animi expedita. Id voluptates recusandae facere. Id asperiores eligendi alias cumque voluptate aperiam.,Activo,1976-06-05,Presencial,Intensiva
65,17c79ef4-6944-11ed-b07a-0242ac1c0002,Ingeniería en Especialista en políticas de administración,Asperiores veritatis vitae repellat nam. Commodi ullam suscipit voluptates nobis. Est expedita ducimus distinctio.,Inactivo,1966-09-28,Presencial,Intensiva
66,17c79fa8-6944-11ed-b07a-0242ac1c0002,Tecnología en Impresor,Adipisci ullam dolorem sed nobis voluptatibus maxime repudiandae. Laborum eos adipisci eveniet reprehenderit atque.,Inactivo,1965-09-01,Distancia,En linea
67,17c7a066-6944-11ed-b07a-0242ac1c0002,Licenciatura en Profesional de enfermería,Nostrum quos est fugiat. Harum molestiae nulla in expedita in.,Activo,1965-05-13,En linea,Vespertina
68,17c7a17e-6944-11ed-b07a-0242ac1c0002,"Ingeniería en Director de empresas de abastecimiento, distribución y afines",Voluptas ab id adipisci mollitia expedita occaecati. Illo ratione sint quae consequatur amet repudiandae cumque. Iste sequi quos nulla architecto natus.,Inactivo,1940-07-04,En linea,Vespertina
69,17c7a23c-6944-11ed-b07a-0242ac1c0002,Ingeniería en Peón de la construcción de edificios,Aspernatur ex nostrum ipsam. Dolore tempora nisi minima odit non culpa maiores. Sed eos doloremque aliquam suscipit eveniet.,Inactivo,1941-06-27,En linea,Intensiva
70,17c7a2e6-6944-11ed-b07a-0242ac1c0002,Ingeniería en Piloto de aviación,Totam tempora reprehenderit nesciunt. Doloribus eveniet illo animi expedita consequatur.,Activo,1977-02-28,Presencial,Intensiva
71,17c7a3ae-6944-11ed-b07a-0242ac1c0002,Ingeniería en Empleado de ventanillas de informaciones,Quis quaerat voluptatem quis in dicta error. Unde recusandae tenetur. Veniam natus nesciunt nostrum hic quod.,Activo,1970-09-26,Presencial,Intensiva
72,17c7a462-6944-11ed-b07a-0242ac1c0002,Licenciatura en Lavador de ventanas,Alias cumque nemo consequatur.,Activo,1951-06-10,Presencial,Vespertina
73,17c7a520-6944-11ed-b07a-0242ac1c0002,Ingeniería en Farmacéutico,Quam facilis assumenda maiores error cupiditate tempora. Quisquam molestiae debitis voluptatibus officia voluptatibus dicta. Occaecati reprehenderit aliquam ullam officiis.,Inactivo,1945-10-14,Distancia,Vespertina
74,17c7a5d4-6944-11ed-b07a-0242ac1c0002,Licenciatura en Profesional de la protección medioambiental,Suscipit cupiditate tempore molestias dignissimos quo beatae. Totam totam architecto sint aspernatur.,Activo,1972-08-20,Distancia,Vespertina
75,17c7a688-6944-11ed-b07a-0242ac1c0002,Licenciatura en Operador de máquinas de vapor y calderas,Aliquam iure nesciunt occaecati qui delectus. Maiores dicta consectetur earum nihil doloribus fuga.,Inactivo,1979-12-28,Distancia,Matutina
76,17c7a73c-6944-11ed-b07a-0242ac1c0002,"Ingeniería en Gerente de centros deportivos, de esparcimiento y culturales",Unde similique porro repellendus. In nihil sint.,Inactivo,1978-03-08,En linea,Intensiva
77,17c7a7fa-6944-11ed-b07a-0242ac1c0002,Tecnología en Ecónomo y mayordomos domésticos,Ipsum consequuntur omnis quasi illum illum. Rem in nemo magni vero dolore explicabo velit.,Activo,1963-10-09,Presencial,En linea
78,17c7a8ae-6944-11ed-b07a-0242ac1c0002,Ingeniería en Agente de maniobras,Earum adipisci nisi omnis voluptatibus. Voluptate ad totam repellendus cum molestias.,Activo,1957-12-02,Presencial,En linea
79,17c7a962-6944-11ed-b07a-0242ac1c0002,Tecnología en Practicante y asistente médico,Illo veritatis rerum nostrum iusto quod quidem. Non temporibus temporibus quod sunt blanditiis.,Inactivo,1951-09-20,En linea,Vespertina
80,17c7aa2a-6944-11ed-b07a-0242ac1c0002,Tecnología en Diseñador de prendas,Reprehenderit a occaecati velit exercitationem. Quo officia dolore laboriosam provident sequi laboriosam.,Activo,1948-01-28,Distancia,En linea
81,17c7aade-6944-11ed-b07a-0242ac1c0002,Ingeniería en Sociólogo,Numquam architecto laboriosam quisquam illum corporis repellendus. Reprehenderit vel enim natus. Veritatis expedita ab et magni nesciunt perspiciatis.,Activo,1949-02-10,Presencial,Matutina
82,17c7aba6-6944-11ed-b07a-0242ac1c0002,Ingeniería en Director de cine,Iste dolore fugiat earum. Eveniet esse pariatur dolorem tempore perspiciatis. Sunt ea earum ipsum.,Activo,1954-10-10,Presencial,En linea
83,17c7ac5a-6944-11ed-b07a-0242ac1c0002,Tecnología en Buzo,Inventore quis similique occaecati nobis labore recusandae. Eos minus corporis quia mollitia.,Inactivo,1963-12-20,En linea,Intensiva
84,17c7ad18-6944-11ed-b07a-0242ac1c0002,Licenciatura en Tipógrafo,Voluptatum aut iste aspernatur harum. Ad dolorum rerum quod explicabo itaque.,Inactivo,1959-03-26,En linea,Vespertina
85,17c7add6-6944-11ed-b07a-0242ac1c0002,Licenciatura en Especialista en tratamientos de belleza,Autem nostrum vel aliquid repellendus pariatur. Quo doloribus illum tempora quo.,Inactivo,1968-07-05,En linea,Intensiva
86,17c7ae9e-6944-11ed-b07a-0242ac1c0002,Ingeniería en Bailarín,Unde omnis alias quaerat reprehenderit minima eaque. Officia corrupti hic suscipit.,Inactivo,1969-11-26,Presencial,En linea
87,17c7af52-6944-11ed-b07a-0242ac1c0002,Ingeniería en Operador de maquinaria agrícola y forestal móvil,Facere ut cupiditate quo sed. At ex adipisci quo ut quaerat. Sed suscipit doloremque voluptatum modi.,Inactivo,1949-05-17,Distancia,Vespertina
88,17c7b01a-6944-11ed-b07a-0242ac1c0002,Ingeniería en Operador de máquinas lavarropas,Ex error labore blanditiis maxime modi rerum unde. Blanditiis explicabo laudantium commodi nobis minima.,Activo,1971-05-10,En linea,En linea
89,17c7b0e2-6944-11ed-b07a-0242ac1c0002,Licenciatura en Audiólogo,Minus iusto dicta inventore expedita quam aliquid. Voluptatibus cupiditate fuga iure.,Inactivo,1943-12-19,Distancia,Intensiva
90,17c7b196-6944-11ed-b07a-0242ac1c0002,Tecnología en Peletero,Illum quibusdam cumque expedita maxime debitis at mollitia. Laboriosam reprehenderit id.,Activo,1967-10-01,Presencial,Intensiva
91,17c7b254-6944-11ed-b07a-0242ac1c0002,Ingeniería en Farmacéutico,In nesciunt veniam in ab. Voluptate vero sint amet.,Activo,1943-05-22,Presencial,Matutina
92,17c7b312-6944-11ed-b07a-0242ac1c0002,Ingeniería en Tramper,Error repellendus reprehenderit consectetur distinctio atque architecto. Atque possimus odit nam et adipisci. Illo beatae labore odio.,Inactivo,1952-07-23,Presencial,Matutina
93,17c7b3d0-6944-11ed-b07a-0242ac1c0002,Licenciatura en Guardafrenos,Aut non molestias aspernatur saepe. Laboriosam iusto necessitatibus tempora id. Sequi ullam dignissimos earum numquam. Porro eum rerum dignissimos neque.,Activo,1970-04-18,Distancia,En linea
94,17c7b48e-6944-11ed-b07a-0242ac1c0002,Licenciatura en Recolector de basura y material reciclable,Animi hic aliquam quia aut officiis.,Inactivo,1941-07-10,Distancia,Vespertina
95,17c7b556-6944-11ed-b07a-0242ac1c0002,Ingeniería en Guía de turismo,Unde corporis odit recusandae. Aspernatur quam molestiae voluptatibus quidem tempora. Hic similique ratione modi modi.,Inactivo,1942-09-18,Distancia,Matutina
96,17c7b614-6944-11ed-b07a-0242ac1c0002,Tecnología en Diseñador de prendas,Eos autem dolores doloremque. Explicabo pariatur fuga magni illo dolorem.,Inactivo,1944-04-21,Presencial,Matutina
97,17c7b6d2-6944-11ed-b07a-0242ac1c0002,Licenciatura en Maestro preescolar,Ad eos beatae neque a. Necessitatibus dolorum provident sequi pariatur nobis inventore. Odio porro deleniti hic eum cum.,Inactivo,1965-04-10,Presencial,Matutina
98,17c7b786-6944-11ed-b07a-0242ac1c0002,Licenciatura en Bibliotecarios,Adipisci dolorum cupiditate ipsa magnam eos voluptate. Provident sequi laboriosam. Explicabo quae quo ipsam non dignissimos.,Activo,1956-09-11,Presencial,Intensiva
99,17c7b830-6944-11ed-b07a-0242ac1c0002,Licenciatura en Detective,Sed a quo incidunt vel voluptatem iusto. Deleniti repellendus ipsum ea exercitationem labore.,Activo,1966-02-19,En linea,Matutina
100,17c7b8ee-6944-11ed-b07a-0242ac1c0002,Ingeniería en Administrador de sistemas,Maxime quasi vel neque animi. Consequuntur repellendus illo.,Activo,1963-01-07,En linea,Intensiva
101,17c7b9a2-6944-11ed-b07a-0242ac1c0002,Ingeniería en Vendedor ambulantes de productos comestibles,Cumque sint vero quisquam. Harum quasi commodi quo et. Quae labore aspernatur doloremque ullam in.,Activo,1964-05-05,Distancia,En linea
102,17c7ba4c-6944-11ed-b07a-0242ac1c0002,Tecnología en Barrendero,Accusantium voluptatibus quibusdam tempore doloribus consectetur. Inventore nostrum quam veniam.,Inactivo,1956-10-08,Distancia,Intensiva
103,17c7bb00-6944-11ed-b07a-0242ac1c0002,"Licenciatura en Operario de la conservación de frutas, legumbres y verduras",Consequatur in iste illum totam fugiat iusto corrupti. Illo delectus harum cum.,Activo,1967-03-14,Presencial,Vespertina
104,17c7bbaa-6944-11ed-b07a-0242ac1c0002,Ingeniería en Costurero,Maxime atque dolorem atque. Veritatis repellendus impedit nulla. Ullam consequatur sequi veritatis necessitatibus.,Inactivo,1960-04-06,Distancia,Intensiva
105,17c7bc54-6944-11ed-b07a-0242ac1c0002,Ingeniería en Conductor de taxis,Exercitationem molestias error illum. Quo cumque quia autem aperiam repellendus. Neque repellat earum culpa.,Inactivo,1951-11-13,Presencial,Vespertina
106,17c7bcfe-6944-11ed-b07a-0242ac1c0002,Licenciatura en Operador de máquinas lavarropas,Fugit accusantium nemo similique culpa eum. Repellat beatae praesentium ullam.,Activo,1978-04-16,Distancia,En linea
107,17c7bda8-6944-11ed-b07a-0242ac1c0002,Tecnología en Director de recursos humanos,Ullam nulla hic sapiente vero laborum. Dolorem alias tenetur fugit nobis.,Activo,1976-09-03,Presencial,Matutina
108,17c7be52-6944-11ed-b07a-0242ac1c0002,Licenciatura en Ayudante de cocina,Quo alias reiciendis ex. Sunt dolore labore dignissimos. Facere aut aliquam qui quo maxime. Accusamus mollitia possimus iusto nobis.,Inactivo,1955-11-11,En linea,En linea
109,17c7bee8-6944-11ed-b07a-0242ac1c0002,Ingeniería en Director de producción de piscicultura y pesca,Voluptatum accusamus corrupti aut eum commodi sit. Velit quasi praesentium pariatur.,Inactivo,1956-07-20,En linea,Vespertina
110,17c7bf88-6944-11ed-b07a-0242ac1c0002,Ingeniería en Físico,Quia alias soluta quisquam dolorem.,Activo,1951-05-31,Presencial,Matutina
111,17c7c032-6944-11ed-b07a-0242ac1c0002,Tecnología en Mayordomo doméstico,Necessitatibus quam ratione dolorem eos aspernatur aut. Ut veritatis aliquid maiores sunt repudiandae. Voluptatibus ea accusantium autem.,Inactivo,1940-10-17,Presencial,Intensiva
112,17c7c0e6-6944-11ed-b07a-0242ac1c0002,Tecnología en Trabajador forestal calificado,Atque officiis omnis ipsum odit incidunt aliquid. Eos atque quia itaque eum repudiandae deleniti.,Inactivo,1955-07-21,En linea,Vespertina
113,17c7c17c-6944-11ed-b07a-0242ac1c0002,Licenciatura en Técnico en ingeniería civil,Placeat inventore unde assumenda. Maxime dicta blanditiis maxime quaerat. Laudantium rem voluptatum beatae.,Inactivo,1940-11-24,Distancia,Intensiva
114,17c7c32a-6944-11ed-b07a-0242ac1c0002,Licenciatura en Empleado de servicios de apoyo a la producción,Explicabo eaque esse atque quo. Error veniam reiciendis at doloribus illum.,Inactivo,1957-01-26,En linea,Intensiva
115,17c7c3d4-6944-11ed-b07a-0242ac1c0002,Licenciatura en Ingeniero mecánico,Porro odio necessitatibus beatae doloribus rerum. Aperiam repudiandae similique quaerat voluptatum quibusdam repellendus. Illum dignissimos dolorem voluptates.,Activo,1978-05-08,En linea,Intensiva
116,17c7c47e-6944-11ed-b07a-0242ac1c0002,Tecnología en Personal de limpieza,Corrupti quasi ut molestiae. Dolorum officiis culpa corrupti deleniti error doloribus. Vel iure quasi eveniet veritatis corrupti.,Inactivo,1954-09-09,Distancia,Matutina
117,17c7c51e-6944-11ed-b07a-0242ac1c0002,Ingeniería en Gerente de hoteles o restaurantes,Quia maiores porro nulla id ad. Totam cum voluptates fuga vero. Nihil incidunt cumque enim animi nulla pariatur.,Inactivo,1976-11-11,En linea,Matutina
