,id_cupo,fecha_aceptacion_cupo,hora_aceptacion_cupo,descripcion_cupo,tipo_cupo,estado_cupo
27,dc202786-6943-11ed-8143-0242ac1c0002,2021-05-31,03:57:05,Sed voluptatibus nostrum minus possimus laboriosam non.,NIVELACION,Inactivo
28,dc202830-6943-11ed-8143-0242ac1c0002,2021-10-08,07:43:31,Neque ipsum animi libero fugiat ratione. A reprehenderit reprehenderit nam vel quisquam dolorem. Nihil molestias ducimus quod error et. Sequi perferendis officiis delectus voluptatibus accusamus.,NIVELACION,Inactivo
29,dc2028da-6943-11ed-8143-0242ac1c0002,2021-05-14,10:23:02,Velit maxime quod sequi est odio quos. Cumque saepe fugit reprehenderit. Voluptatem consequuntur recusandae quidem assumenda eius aperiam.,NIVELACION,Activo
30,dc202998-6943-11ed-8143-0242ac1c0002,2021-03-13,01:24:02,Neque non blanditiis deleniti. Hic explicabo ratione corrupti iusto enim mollitia atque. Et velit sit vitae sed.,NIVELACION,Activo
31,dc202a42-6943-11ed-8143-0242ac1c0002,2021-10-15,07:59:49,Rem ipsa officiis excepturi modi error praesentium. Error eveniet non voluptate at voluptatum. Excepturi nihil dicta incidunt.,NIVELACION,Activo
32,dc202aec-6943-11ed-8143-0242ac1c0002,2022-05-03,18:12:54,Iste enim culpa. Hic sit ab mollitia vitae molestias aliquid laborum. Unde nobis doloribus doloribus reiciendis similique.,PRIMER NIVEL,Inactivo
33,dc202bbe-6943-11ed-8143-0242ac1c0002,2021-08-22,15:16:18,Modi explicabo distinctio sit. Assumenda atque id a.,PRIMER NIVEL,Inactivo
34,dc202c5e-6943-11ed-8143-0242ac1c0002,2021-07-04,02:08:21,Rerum sapiente modi velit voluptas iste dignissimos distinctio. Nesciunt eius facere nostrum.,PRIMER NIVEL,Inactivo
35,dc202d08-6943-11ed-8143-0242ac1c0002,2022-06-15,07:24:49,Numquam voluptatem excepturi minima.,PRIMER NIVEL,Activo
36,dc202dbc-6943-11ed-8143-0242ac1c0002,2022-04-04,20:41:40,Nihil illum velit occaecati beatae maxime qui. Earum ipsa possimus cum. Tempore quo minima cum libero reprehenderit laboriosam.,NIVELACION,Activo
37,dc202e5c-6943-11ed-8143-0242ac1c0002,2021-10-25,03:58:06,Rerum placeat in non saepe cupiditate repellat. Delectus cupiditate animi amet minus error. Expedita sit pariatur id libero eius.,PRIMER NIVEL,Activo
38,dc202ef2-6943-11ed-8143-0242ac1c0002,2021-10-19,14:55:35,Quas quasi iure exercitationem et. Consequatur hic minima laboriosam labore cumque.,NIVELACION,Inactivo
39,dc202f92-6943-11ed-8143-0242ac1c0002,2022-11-02,12:19:16,Consectetur praesentium commodi quibusdam similique fugit alias repellat. Vero consequatur mollitia debitis dignissimos.,PRIMER NIVEL,Inactivo
40,dc20303c-6943-11ed-8143-0242ac1c0002,2021-03-03,11:08:11,Incidunt laboriosam consectetur non ipsam minus. Corrupti optio veritatis quo tempore commodi hic.,PRIMER NIVEL,Inactivo
41,dc2030dc-6943-11ed-8143-0242ac1c0002,2021-11-25,22:00:33,Illum non quibusdam consectetur ullam. Quas eum adipisci a voluptatum impedit magnam.,NIVELACION,Inactivo
42,dc20330c-6943-11ed-8143-0242ac1c0002,2022-11-28,02:49:00,Odio debitis quidem. Recusandae ipsa pariatur perspiciatis voluptatem in. Blanditiis sed minima culpa tempora soluta necessitatibus.,PRIMER NIVEL,Inactivo
43,dc2033f2-6943-11ed-8143-0242ac1c0002,2021-02-02,22:21:33,Hic corporis atque. Reiciendis minima eius eum. Sapiente eius praesentium deleniti dolore veritatis.,NIVELACION,Inactivo
44,dc2034a6-6943-11ed-8143-0242ac1c0002,2021-08-22,08:01:05,Dolorum dolor fugiat dicta repellat. Aliquid modi provident nobis iste quos minus. Corrupti eligendi quam occaecati.,PRIMER NIVEL,Inactivo
45,dc203550-6943-11ed-8143-0242ac1c0002,2021-03-15,07:25:19,Vero quidem consequatur voluptatibus nobis repudiandae. Amet nihil harum assumenda veritatis suscipit eos. Repellendus eius inventore assumenda quae dolor dolor.,PRIMER NIVEL,Inactivo
46,dc2035fa-6943-11ed-8143-0242ac1c0002,2021-06-05,18:24:43,Autem quos aspernatur repellat excepturi ex aliquid. Ut voluptatibus itaque autem dolores sed tempora.,PRIMER NIVEL,Activo
47,dc2036d6-6943-11ed-8143-0242ac1c0002,2022-04-23,03:51:19,Cumque magnam saepe porro a sapiente dolores. Quibusdam sunt aut enim repellendus a hic. Animi amet blanditiis et praesentium.,NIVELACION,Inactivo
48,dc203780-6943-11ed-8143-0242ac1c0002,2021-08-04,16:32:01,In modi quo maiores. Dicta beatae a labore deleniti.,PRIMER NIVEL,Inactivo
49,dc203852-6943-11ed-8143-0242ac1c0002,2022-12-23,04:17:50,Fugiat itaque ullam sequi delectus. Hic quos nobis veniam laudantium. Alias placeat animi assumenda.,NIVELACION,Inactivo
50,dc2038fc-6943-11ed-8143-0242ac1c0002,2022-06-09,15:53:36,Laborum magni voluptate numquam temporibus tenetur ad delectus. Quis molestiae nobis quidem sequi.,PRIMER NIVEL,Inactivo
51,dc2039a6-6943-11ed-8143-0242ac1c0002,2022-12-11,01:54:11,Eum quas unde dolores deleniti reiciendis natus. Vero odit tempore eum quis asperiores consequatur minima.,NIVELACION,Activo
52,dc203a50-6943-11ed-8143-0242ac1c0002,2021-03-22,05:45:49,Vel explicabo id aspernatur assumenda quia similique quam.,PRIMER NIVEL,Activo
53,dc203af0-6943-11ed-8143-0242ac1c0002,2021-11-24,14:44:27,In natus quae totam quo. Sint fugiat nobis eaque officia iure ullam.,NIVELACION,Inactivo
54,dc203b90-6943-11ed-8143-0242ac1c0002,2022-06-27,16:59:19,A quam occaecati ea. Ipsam eius commodi totam accusantium corrupti beatae. Iste doloribus quisquam quasi nobis nemo. Praesentium tempore harum adipisci.,NIVELACION,Activo
55,dc203c44-6943-11ed-8143-0242ac1c0002,2021-08-31,21:42:52,Impedit voluptas quo repellendus quos consequatur sit. Blanditiis nobis eligendi minus. Recusandae laudantium ab aspernatur occaecati voluptatem officiis.,NIVELACION,Activo
56,dc203d70-6943-11ed-8143-0242ac1c0002,2022-08-31,00:27:13,Ipsa vel officiis nobis necessitatibus consequatur. Quas eos nulla nobis. Minus aut cupiditate eveniet molestiae occaecati minus. Impedit culpa hic non facilis.,PRIMER NIVEL,Activo
57,dc203e1a-6943-11ed-8143-0242ac1c0002,2022-12-18,11:57:21,Voluptas dignissimos accusantium est minus. Itaque quia omnis enim sit hic.,NIVELACION,Inactivo
58,dc203ec4-6943-11ed-8143-0242ac1c0002,2022-06-17,21:47:50,Perspiciatis nostrum iusto natus blanditiis tempora. Est error possimus rem consequuntur rerum id fugiat.,NIVELACION,Activo
59,dc203f78-6943-11ed-8143-0242ac1c0002,2021-03-26,22:45:08,Explicabo dolor optio quidem repudiandae quaerat occaecati. Doloremque delectus minus adipisci. Suscipit recusandae sint vel perspiciatis numquam quis.,NIVELACION,Activo
60,dc204022-6943-11ed-8143-0242ac1c0002,2022-07-24,23:36:39,Harum iusto cum soluta molestiae exercitationem. Blanditiis cum quo deleniti dolore quisquam eum. Minima reprehenderit aut nobis soluta in.,PRIMER NIVEL,Activo
61,dc2040cc-6943-11ed-8143-0242ac1c0002,2021-10-14,20:35:57,Ipsam fugit dicta vero. Earum quam quas sequi sit cupiditate impedit.,PRIMER NIVEL,Activo
62,dc20416c-6943-11ed-8143-0242ac1c0002,2021-09-15,02:02:26,Recusandae dicta porro voluptate repudiandae tempora. Vitae iste culpa consequatur tempora. Quo labore error maiores voluptates.,NIVELACION,Inactivo
63,dc204216-6943-11ed-8143-0242ac1c0002,2022-06-12,18:12:09,Assumenda eum sapiente aspernatur. Temporibus error expedita laborum. Culpa id dicta in nihil voluptatibus.,NIVELACION,Activo
64,dc2042c0-6943-11ed-8143-0242ac1c0002,2021-10-29,09:49:25,Officiis doloribus odio tempore porro vel ullam. Deserunt ea dolorem iusto veniam quaerat laborum.,PRIMER NIVEL,Inactivo
65,dc20436a-6943-11ed-8143-0242ac1c0002,2022-06-04,19:39:15,Quidem numquam enim sint inventore cum.,PRIMER NIVEL,Activo
66,dc20440a-6943-11ed-8143-0242ac1c0002,2022-06-23,18:45:24,Perspiciatis consequatur harum quod.,PRIMER NIVEL,Activo
67,dc2044d2-6943-11ed-8143-0242ac1c0002,2021-06-07,22:52:51,Perferendis error dignissimos similique. Repellat dolorem fuga fugiat pariatur veniam. Cupiditate ipsa ad.,NIVELACION,Inactivo
68,dc204568-6943-11ed-8143-0242ac1c0002,2022-06-28,22:40:56,Officiis vitae soluta voluptatibus. Non quod natus aspernatur necessitatibus nam. Eligendi iure dolore quasi.,PRIMER NIVEL,Activo
69,dc204608-6943-11ed-8143-0242ac1c0002,2022-09-15,05:57:34,Exercitationem fugiat voluptatibus maxime quisquam. Maiores vitae cupiditate explicabo minima labore. Praesentium non repellat aliquam voluptatem.,PRIMER NIVEL,Inactivo
70,dc2046b2-6943-11ed-8143-0242ac1c0002,2021-05-28,13:19:10,Odio et veritatis id dolore inventore unde ea. Ad quas nesciunt similique perferendis repudiandae distinctio. Itaque non ab eos iste veritatis.,NIVELACION,Inactivo
71,dc204766-6943-11ed-8143-0242ac1c0002,2022-10-22,14:11:22,In architecto asperiores. Sapiente iure dolore iure quis quis at. Tenetur animi veritatis.,NIVELACION,Inactivo
72,dc204810-6943-11ed-8143-0242ac1c0002,2021-04-20,13:32:49,Nisi quisquam quidem omnis est. Esse nihil eius minima impedit iste.,PRIMER NIVEL,Activo
73,dc2048d8-6943-11ed-8143-0242ac1c0002,2021-04-30,14:48:44,Rem autem expedita ullam dicta in fugiat. Consequatur consequuntur inventore necessitatibus iste earum.,PRIMER NIVEL,Activo
74,dc204978-6943-11ed-8143-0242ac1c0002,2021-01-03,10:22:26,Asperiores accusamus inventore debitis iure odio ipsa voluptates.,PRIMER NIVEL,Inactivo
75,dc204a2c-6943-11ed-8143-0242ac1c0002,2021-06-27,12:55:28,Eaque voluptates odio nesciunt perspiciatis. Minus nobis eveniet eligendi a accusantium vitae. Rerum repellendus voluptate aperiam rem amet cum.,PRIMER NIVEL,Inactivo
76,dc204ad6-6943-11ed-8143-0242ac1c0002,2022-03-07,13:11:27,Fugiat neque sit accusantium ipsam. Sed soluta aspernatur similique sequi.,PRIMER NIVEL,Inactivo
77,dc204b9e-6943-11ed-8143-0242ac1c0002,2021-11-16,14:30:27,Numquam ad asperiores et illum veniam. Iusto ratione facere sequi.,NIVELACION,Inactivo
78,dc204c52-6943-11ed-8143-0242ac1c0002,2022-07-06,20:01:56,Ipsum dolore ex voluptatem laborum cupiditate minima unde.,PRIMER NIVEL,Inactivo
79,dc204cfc-6943-11ed-8143-0242ac1c0002,2022-07-10,06:19:27,Unde accusantium quae at hic optio. Molestiae eius velit reprehenderit molestiae consequuntur omnis dolorum. Quibusdam nam autem fugiat facere dolore.,NIVELACION,Activo
80,dc204dba-6943-11ed-8143-0242ac1c0002,2022-08-02,17:23:12,Amet provident exercitationem impedit impedit veniam. Magnam dolores aliquid aliquam a. Alias tenetur ipsa debitis.,NIVELACION,Inactivo
81,dc204e6e-6943-11ed-8143-0242ac1c0002,2022-01-06,11:52:00,Aliquam fuga error illo sequi error. Aperiam consequuntur minus ex ullam deleniti.,NIVELACION,Activo
82,dc204f18-6943-11ed-8143-0242ac1c0002,2021-11-19,18:10:02,Aliquid eveniet rerum placeat ipsa fugiat. Repellat alias ab beatae eaque ex.,NIVELACION,Activo
83,dc204fcc-6943-11ed-8143-0242ac1c0002,2022-11-18,22:00:38,Repellat minus laboriosam impedit corrupti architecto perferendis. In ducimus sit ratione. Nesciunt consequatur minus quidem ullam corrupti eius.,NIVELACION,Inactivo
84,dc205076-6943-11ed-8143-0242ac1c0002,2022-06-19,01:40:26,Vero commodi nulla veritatis error expedita. Qui cumque a nam laudantium iste repudiandae.,PRIMER NIVEL,Activo
85,dc205134-6943-11ed-8143-0242ac1c0002,2022-04-13,20:18:51,Incidunt ducimus nesciunt fugit. Illo maiores ut non saepe. Repellendus expedita illo quibusdam perspiciatis sint saepe.,NIVELACION,Activo
86,dc2051de-6943-11ed-8143-0242ac1c0002,2021-05-30,05:19:32,Veritatis nesciunt odio iste. Minima delectus perferendis repellat mollitia iste.,NIVELACION,Activo
87,dc20529c-6943-11ed-8143-0242ac1c0002,2022-06-20,12:52:31,Natus odio praesentium officiis.,NIVELACION,Activo
88,dc205350-6943-11ed-8143-0242ac1c0002,2021-06-08,07:27:28,Enim eligendi ea eligendi ut iure ex. Neque nihil neque nisi. Voluptas quibusdam voluptates aut amet odio.,NIVELACION,Inactivo
89,dc20540e-6943-11ed-8143-0242ac1c0002,2022-10-30,22:09:26,Libero fugiat eum hic unde quod sunt rem. Eligendi totam omnis aperiam repellendus quo iusto. Quae possimus cumque sapiente fugiat id cumque.,PRIMER NIVEL,Activo
90,dc2054c2-6943-11ed-8143-0242ac1c0002,2022-12-27,04:13:44,Praesentium exercitationem iste magnam. Sed fuga atque est impedit maiores.,NIVELACION,Activo
91,dc2055a8-6943-11ed-8143-0242ac1c0002,2022-07-23,02:32:55,Nesciunt molestiae numquam praesentium voluptates alias. Quia voluptates tempore ut.,PRIMER NIVEL,Activo
92,dc20565c-6943-11ed-8143-0242ac1c0002,2022-05-04,07:04:27,Ullam quaerat laudantium eum. Aut reiciendis voluptas nam et in. Corrupti temporibus soluta reprehenderit iusto.,NIVELACION,Inactivo
93,dc205710-6943-11ed-8143-0242ac1c0002,2021-10-22,15:11:38,Id velit cupiditate culpa atque. Exercitationem neque eligendi. Excepturi autem architecto excepturi commodi.,PRIMER NIVEL,Activo
94,dc2057ba-6943-11ed-8143-0242ac1c0002,2022-06-08,09:35:15,Magni exercitationem dignissimos. Accusantium dicta corrupti porro ipsa unde consectetur. Error amet tenetur.,NIVELACION,Inactivo
95,dc20592c-6943-11ed-8143-0242ac1c0002,2022-02-28,18:04:30,Facilis labore expedita tempora recusandae. Aliquam id totam voluptas voluptates delectus repudiandae. Enim non laudantium sunt eveniet.,PRIMER NIVEL,Inactivo
96,dc205a3a-6943-11ed-8143-0242ac1c0002,2022-09-20,14:07:06,Dolorum debitis iste eligendi iste necessitatibus accusamus minus. Officia cum nostrum accusamus mollitia minus. Odio deserunt facere inventore mollitia error ullam.,PRIMER NIVEL,Activo
97,dc205aee-6943-11ed-8143-0242ac1c0002,2022-07-08,19:02:37,Sit praesentium voluptate in incidunt ipsum. Rem rerum voluptatum natus. Possimus rem nisi corporis nostrum laborum. Id neque quae numquam cum eveniet quidem.,NIVELACION,Activo
98,dc205b98-6943-11ed-8143-0242ac1c0002,2022-01-22,08:13:15,Numquam animi atque. Dolores voluptatem impedit saepe tenetur doloremque.,NIVELACION,Inactivo
99,dc205c42-6943-11ed-8143-0242ac1c0002,2021-02-15,13:06:32,Molestias non similique reprehenderit dignissimos quaerat maiores. Quos ipsa repudiandae sunt a quaerat doloribus. Eaque voluptatibus earum dolorem.,PRIMER NIVEL,Inactivo
100,dc205cd8-6943-11ed-8143-0242ac1c0002,2021-02-27,02:30:55,Nulla autem aliquam quo aut magni temporibus. Reiciendis sequi error non reprehenderit ex minima.,NIVELACION,Inactivo
101,dc205d78-6943-11ed-8143-0242ac1c0002,2022-01-02,13:28:29,Similique alias culpa atque. Sint eum debitis deleniti praesentium quo error. Totam nesciunt mollitia asperiores sit hic necessitatibus.,PRIMER NIVEL,Inactivo
102,dc205e22-6943-11ed-8143-0242ac1c0002,2021-03-03,06:12:17,Assumenda earum accusamus sint numquam doloremque error. Dolore fugit dolorum ipsam. Adipisci tempora vel tempore vel aspernatur.,NIVELACION,Activo
103,dc205ec2-6943-11ed-8143-0242ac1c0002,2021-08-14,03:40:52,Sapiente excepturi voluptatem delectus eius soluta voluptates.,NIVELACION,Inactivo
104,dc205f80-6943-11ed-8143-0242ac1c0002,2022-08-20,20:19:44,Sint libero dignissimos quam asperiores.,NIVELACION,Inactivo
105,dc20602a-6943-11ed-8143-0242ac1c0002,2022-10-12,04:03:36,Repellat illo enim quasi aspernatur fugiat. Animi unde ab voluptate quibusdam temporibus voluptatum accusamus.,PRIMER NIVEL,Inactivo
106,dc2060ca-6943-11ed-8143-0242ac1c0002,2021-10-21,23:04:07,Hic odit aut quidem quasi vitae. Sequi omnis iste optio explicabo earum magni. Cum sapiente aperiam dicta aut praesentium.,NIVELACION,Activo
107,dc2061b0-6943-11ed-8143-0242ac1c0002,2022-08-15,05:30:22,Suscipit inventore quos neque officia repudiandae. Sint eius doloribus doloribus quia blanditiis voluptatibus cum.,PRIMER NIVEL,Inactivo
108,dc206250-6943-11ed-8143-0242ac1c0002,2021-11-07,14:42:36,Eaque ipsam molestias. Voluptatum aspernatur assumenda. Sit sint fugit minima maiores. Perferendis nesciunt natus qui.,PRIMER NIVEL,Activo
109,dc2062fa-6943-11ed-8143-0242ac1c0002,2022-10-25,01:47:21,Libero corporis occaecati aliquid dolore necessitatibus corporis consequatur. Nobis minus ipsum fugit nobis officiis. Similique hic eaque iusto nemo.,PRIMER NIVEL,Activo
110,dc2063f4-6943-11ed-8143-0242ac1c0002,2022-02-26,18:59:14,Expedita fuga necessitatibus molestiae natus. Velit libero at neque harum vero distinctio. Magni distinctio odio illo.,PRIMER NIVEL,Inactivo
111,dc2064b2-6943-11ed-8143-0242ac1c0002,2021-09-14,15:56:03,Voluptatibus nihil eveniet velit nesciunt iusto. Quidem ipsum facere ullam praesentium.,PRIMER NIVEL,Activo
112,dc206566-6943-11ed-8143-0242ac1c0002,2022-06-11,12:48:19,Illum ab vel alias velit modi.,PRIMER NIVEL,Activo
113,dc206610-6943-11ed-8143-0242ac1c0002,2022-11-03,10:31:28,Quibusdam ipsum itaque quasi sequi. Esse rem repellendus quo dignissimos. Tempora eos asperiores velit veritatis sapiente. Nobis minus sed architecto mollitia quaerat eum.,PRIMER NIVEL,Inactivo
114,dc2066ba-6943-11ed-8143-0242ac1c0002,2022-10-08,23:14:25,Accusamus dolorem quae occaecati.,NIVELACION,Inactivo
115,dc206764-6943-11ed-8143-0242ac1c0002,2022-11-10,15:54:24,A ut recusandae sunt minus. Corporis totam non necessitatibus earum eos quibusdam debitis. Perferendis aspernatur tempora.,PRIMER NIVEL,Inactivo
116,dc206818-6943-11ed-8143-0242ac1c0002,2022-11-12,06:15:12,Ullam velit odio unde debitis eius. Expedita labore temporibus accusantium.,PRIMER NIVEL,Activo
117,dc2068ea-6943-11ed-8143-0242ac1c0002,2021-03-21,19:23:55,Corrupti at quas ipsum saepe debitis. Eius nemo iste dolorum.,PRIMER NIVEL,Activo
118,dc20699e-6943-11ed-8143-0242ac1c0002,2022-08-22,09:30:39,Cupiditate nemo architecto dolor quo culpa. Unde modi harum similique aspernatur voluptatibus.,NIVELACION,Activo
119,dc206a3e-6943-11ed-8143-0242ac1c0002,2021-12-12,17:40:13,Itaque aliquid autem ratione tenetur non. Rerum repudiandae eius sapiente amet.,NIVELACION,Activo
120,dc206ae8-6943-11ed-8143-0242ac1c0002,2022-11-26,22:11:36,Nesciunt recusandae odio consequatur cum labore unde quos. Velit laudantium et doloremque eos error.,PRIMER NIVEL,Inactivo
121,dc206bf6-6943-11ed-8143-0242ac1c0002,2021-02-10,11:37:46,Reprehenderit praesentium quia aut. Quaerat voluptatum iure. Atque pariatur quidem veritatis aliquid inventore necessitatibus quam.,NIVELACION,Inactivo
122,dc206ca0-6943-11ed-8143-0242ac1c0002,2021-05-06,17:59:42,Aspernatur perferendis consectetur maiores itaque. Doloribus sequi veniam tempora consequatur aliquam. Consectetur esse iure aliquid nobis voluptatibus nostrum totam.,PRIMER NIVEL,Activo
123,dc206d4a-6943-11ed-8143-0242ac1c0002,2022-03-26,18:19:38,Minus perspiciatis commodi nobis impedit architecto eos. Sint doloremque ipsum sequi temporibus amet.,NIVELACION,Activo
124,dc206df4-6943-11ed-8143-0242ac1c0002,2021-02-09,09:20:39,Accusamus eius deserunt unde quis necessitatibus perferendis. Voluptas tenetur pariatur repellat quae ullam aut. Iusto sapiente consequatur accusantium tenetur tempore. In eveniet fuga ipsum assumenda ad.,PRIMER NIVEL,Activo
125,dc206e94-6943-11ed-8143-0242ac1c0002,2021-03-25,03:15:29,Repudiandae aspernatur numquam cupiditate quis quis. Quo aliquid molestiae quasi exercitationem quis laudantium.,NIVELACION,Inactivo
126,dc206f34-6943-11ed-8143-0242ac1c0002,2022-01-12,13:05:52,Ab occaecati possimus libero. Excepturi nobis officiis eos quibusdam alias.,NIVELACION,Inactivo
127,dc206fde-6943-11ed-8143-0242ac1c0002,2021-08-24,04:01:32,Ipsum velit praesentium vitae. Aliquid sint sint totam vitae.,PRIMER NIVEL,Activo
128,dc20707e-6943-11ed-8143-0242ac1c0002,2021-07-01,02:14:05,Tempora eveniet provident aspernatur saepe aliquam quia. Assumenda eum dignissimos cupiditate porro aperiam. Architecto sequi vel est ipsa.,NIVELACION,Activo
129,dc20711e-6943-11ed-8143-0242ac1c0002,2021-01-12,02:02:13,Praesentium reprehenderit commodi facilis odio id. Voluptatibus quidem earum debitis facere adipisci. Nostrum quis inventore natus magni.,PRIMER NIVEL,Activo
130,dc2071be-6943-11ed-8143-0242ac1c0002,2021-10-14,09:37:49,Corrupti ipsum laudantium rem ad. Quae est doloribus voluptas distinctio sit. Vel exercitationem similique inventore occaecati quisquam. Quibusdam sint architecto totam iusto reprehenderit quisquam.,PRIMER NIVEL,Inactivo
131,dc207268-6943-11ed-8143-0242ac1c0002,2022-01-28,19:35:43,Dicta tempore eaque mollitia. Qui dolor saepe aut impedit dolorum. Mollitia deserunt atque ab.,NIVELACION,Activo
132,dc207312-6943-11ed-8143-0242ac1c0002,2022-05-10,06:45:02,Libero eius optio sapiente corrupti molestiae eos natus. Aut id maxime commodi architecto omnis libero.,NIVELACION,Inactivo
133,dc2073da-6943-11ed-8143-0242ac1c0002,2022-01-10,02:09:20,Explicabo animi eveniet. Illo hic esse voluptas expedita ex ratione explicabo. Fuga amet vitae unde consequuntur ea quasi.,PRIMER NIVEL,Activo
134,dc207484-6943-11ed-8143-0242ac1c0002,2021-12-20,20:44:13,Temporibus et numquam voluptatibus veniam. Labore laborum aspernatur officiis. Ut commodi voluptates autem assumenda iure.,NIVELACION,Activo
135,dc20752e-6943-11ed-8143-0242ac1c0002,2022-12-28,23:03:01,Quod sunt sunt occaecati pariatur vel magni.,PRIMER NIVEL,Activo
