,IdInsti,NomInstituto,CorreoInstituto,TelefonoInstituto,DescripcionInstituto,EstadoInstituto,URL
10,f9b7dc94-6943-11ed-a9ab-0242ac1c0002,Instituto Emelina Vicens,emelina.vicens@hotmail.com,0921665096,Hic voluptates placeat quas animi.,Inactivo,universidademelinavicens.com
11,f9b7dd2a-6943-11ed-a9ab-0242ac1c0002,Instituto Gloria Mena,gloria.mena@hotmail.com,0907209195,Eligendi ducimus nihil delectus quaerat. Autem eaque pariatur modi rerum libero repellat. Incidunt fugit quo ipsam.,Inactivo,universidadgloriamena.com
12,f9b7ddb6-6943-11ed-a9ab-0242ac1c0002,Instituto Ignacio Valentín,ignacio.valentín@hotmail.com,0945309766,Quidem incidunt amet a minima illum pariatur. Necessitatibus facilis eius facere. Aspernatur nisi ut unde enim ducimus.,Activo,universidadignaciovalentín.com
13,f9b7de56-6943-11ed-a9ab-0242ac1c0002,Instituto Ismael Dalmau,ismael.dalmau@hotmail.com,0957241302,Rerum perspiciatis porro. Modi quidem sint eaque incidunt fugit rem molestiae. Porro sapiente atque labore natus voluptate aperiam.,Activo,universidadismaeldalmau.com
14,f9b7deec-6943-11ed-a9ab-0242ac1c0002,Instituto Noemí Alonso,noemí.alonso@hotmail.com,0915342957,Vero culpa eius accusantium quos ratione dolorum.,Activo,universidadnoemíalonso.com
15,f9b7df78-6943-11ed-a9ab-0242ac1c0002,Instituto Maximino Ferrera,maximino.ferrera@hotmail.com,0942009993,Iure maiores tempora architecto voluptate veniam. Optio asperiores modi.,Inactivo,universidadmaximinoferrera.com
16,f9b7e004-6943-11ed-a9ab-0242ac1c0002,Instituto Samuel Andrade,samuel.andrade@hotmail.com,0940286347,Optio quibusdam harum nam non.,Inactivo,universidadsamuelandrade.com
17,f9b7e0a4-6943-11ed-a9ab-0242ac1c0002,Instituto Ramón Anguita,ramón.anguita@hotmail.com,0993711761,Dicta optio porro nobis ipsum iure veniam magni. Ullam eos iusto nemo non optio sit. Numquam cum vel enim sit doloribus.,Activo,universidadramónanguita.com
18,f9b7e144-6943-11ed-a9ab-0242ac1c0002,Instituto Gabriela Alfonso,gabriela.alfonso@hotmail.com,0934008184,Porro perferendis eum mollitia. Voluptate repudiandae nemo placeat maxime accusamus labore. Est veritatis veritatis magni culpa.,Inactivo,universidadgabrielaalfonso.com
19,f9b7e1ee-6943-11ed-a9ab-0242ac1c0002,Instituto Coral Ferrando,coral.ferrando@hotmail.com,0989567564,Facilis tempore quo debitis assumenda. Accusamus unde magnam quod qui inventore blanditiis.,Inactivo,universidadcoralferrando.com
20,f9b7e284-6943-11ed-a9ab-0242ac1c0002,Instituto Melania Ángel,melania.ángel@hotmail.com,0990287806,Fugiat aut possimus similique autem tenetur sed.,Activo,universidadmelaniaángel.com
21,f9b7e310-6943-11ed-a9ab-0242ac1c0002,Instituto Álvaro Guitart,álvaro.guitart@hotmail.com,0980056234,Reiciendis facere quas consequatur necessitatibus expedita consequuntur. Iusto quasi saepe iste unde.,Activo,universidadálvaroguitart.com
22,f9b7e3b0-6943-11ed-a9ab-0242ac1c0002,Instituto Haroldo Bru,haroldo.bru@hotmail.com,0946973280,Aperiam omnis expedita provident debitis consectetur voluptatum. Esse repellat atque laudantium officiis alias. Deserunt occaecati repudiandae corrupti.,Inactivo,universidadharoldobru.com
23,f9b7e450-6943-11ed-a9ab-0242ac1c0002,Instituto Eutimio Alarcón,eutimio.alarcón@hotmail.com,0916555129,Quod inventore incidunt corporis. Totam atque harum ipsum.,Inactivo,universidadeutimioalarcón.com
24,f9b7e4f0-6943-11ed-a9ab-0242ac1c0002,Instituto Jesusa Mateos,jesusa.mateos@hotmail.com,0971510061,Minima omnis aut corporis ullam similique. Cupiditate neque rem sit officia.,Inactivo,universidadjesusamateos.com
25,f9b7e57c-6943-11ed-a9ab-0242ac1c0002,Instituto Óscar Linares,óscar.linares@hotmail.com,0960601418,Harum quia in aperiam. Quibusdam hic provident natus. Earum iusto exercitationem iste aperiam maiores beatae quisquam.,Activo,universidadóscarlinares.com
26,f9b7e612-6943-11ed-a9ab-0242ac1c0002,Instituto Marcos Vilanova,marcos.vilanova@hotmail.com,0978517411,Praesentium illum molestiae ipsa nulla. Quas quo nam iure. Voluptatem alias necessitatibus beatae placeat laborum unde.,Activo,universidadmarcosvilanova.com
27,f9b7e70c-6943-11ed-a9ab-0242ac1c0002,Instituto Rómulo Hoyos,rómulo.hoyos@hotmail.com,0983106497,Laboriosam dolor iure aliquid.,Inactivo,universidadrómulohoyos.com
28,f9b7e7c0-6943-11ed-a9ab-0242ac1c0002,Instituto Ángeles Blasco,ángeles.blasco@hotmail.com,0937659367,Aspernatur mollitia exercitationem minus nesciunt soluta recusandae. Ducimus cumque incidunt veritatis dolore. Atque optio officiis cum et quasi accusamus.,Inactivo,universidadángelesblasco.com
29,f9b7e860-6943-11ed-a9ab-0242ac1c0002,Instituto Rosenda Roldan,rosenda.roldan@hotmail.com,0966942230,Voluptas laboriosam repellat perferendis similique. Illum officia error voluptatem dolor eligendi. Eius voluptate iusto facere.,Activo,universidadrosendaroldan.com
30,f9b7e8f6-6943-11ed-a9ab-0242ac1c0002,Instituto Ildefonso Domínguez,ildefonso.domínguez@hotmail.com,0908143596,Porro in ipsa non officia. Autem magnam architecto.,Inactivo,universidadildefonsodomínguez.com
31,f9b7e98c-6943-11ed-a9ab-0242ac1c0002,Instituto Magdalena Bernat,magdalena.bernat@hotmail.com,0902220001,Sint atque ex fugit veniam neque. Autem fugiat quidem illum tempore iure non nesciunt. Pariatur occaecati incidunt et.,Activo,universidadmagdalenabernat.com
32,f9b7ea36-6943-11ed-a9ab-0242ac1c0002,Instituto Eric Jurado,eric.jurado@hotmail.com,0925045365,Cum ipsum modi eum alias doloribus neque.,Activo,universidadericjurado.com
33,f9b7eaf4-6943-11ed-a9ab-0242ac1c0002,Instituto Gerónimo Carlos,gerónimo.carlos@hotmail.com,0907324276,Quaerat nobis necessitatibus ipsam necessitatibus cumque modi. Blanditiis dignissimos provident dolorem quae repellat eligendi.,Activo,universidadgerónimocarlos.com
34,f9b7eb9e-6943-11ed-a9ab-0242ac1c0002,Instituto Fidela Oliver,fidela.oliver@hotmail.com,0985212483,Exercitationem atque dolorem perferendis similique similique quas. Quo in maxime nobis enim nesciunt quas. Quos iusto fugiat sapiente quisquam vel ut quasi.,Activo,universidadfidelaoliver.com
35,f9b7ec70-6943-11ed-a9ab-0242ac1c0002,Instituto Baudelio Sosa,baudelio.sosa@hotmail.com,0971514006,Maiores molestiae adipisci doloribus perferendis doloribus vel. Asperiores quos unde.,Inactivo,universidadbaudeliososa.com
36,f9b7ee8c-6943-11ed-a9ab-0242ac1c0002,Instituto Clímaco Landa,clímaco.landa@hotmail.com,0994743337,Eveniet eveniet quae ab.,Inactivo,universidadclímacolanda.com
37,f9b7ef4a-6943-11ed-a9ab-0242ac1c0002,Instituto Rocío Narváez,rocío.narváez@hotmail.com,0979165350,Maxime quidem itaque aliquid quia odio. Quidem nisi nihil. Animi sit cum numquam a deserunt quas.,Activo,universidadrocíonarváez.com
38,f9b7f012-6943-11ed-a9ab-0242ac1c0002,Instituto Damián Pons,damián.pons@hotmail.com,0909305464,Tenetur rem velit voluptatem asperiores. Iure explicabo tenetur suscipit debitis.,Inactivo,universidaddamiánpons.com
39,f9b7f0bc-6943-11ed-a9ab-0242ac1c0002,Instituto Dalila Blanca,dalila.blanca@hotmail.com,0913729920,Harum aperiam ex sint magnam explicabo. Impedit impedit molestias nulla officia aut atque. Quas ipsam modi dolor eos doloribus.,Activo,universidaddalilablanca.com
40,f9b7f166-6943-11ed-a9ab-0242ac1c0002,Instituto Lidia Codina,lidia.codina@hotmail.com,0982930109,Voluptatem quibusdam placeat porro. Beatae dolore pariatur est quos sequi dolore quae. Ipsum enim voluptas dolor.,Inactivo,universidadlidiacodina.com
41,f9b7f1fc-6943-11ed-a9ab-0242ac1c0002,Instituto Ariel Miguel,ariel.miguel@hotmail.com,0994430727,Consequatur dolores repellendus voluptas. Repellendus quas veritatis aliquid reprehenderit fuga.,Activo,universidadarielmiguel.com
42,f9b7f29c-6943-11ed-a9ab-0242ac1c0002,Instituto Teófilo Sedano,teófilo.sedano@hotmail.com,0924649325,Voluptatem quam quis tenetur. Error temporibus minus dolorum reprehenderit. Explicabo odio hic eius.,Inactivo,universidadteófilosedano.com
43,f9b7f33c-6943-11ed-a9ab-0242ac1c0002,Instituto Fabricio Pastor,fabricio.pastor@hotmail.com,0906348339,Laudantium debitis eius sapiente delectus deleniti deleniti doloremque. Iusto dicta dicta aliquid repellat non explicabo reprehenderit. Temporibus porro tempore itaque velit tempore. Quas laboriosam accusantium aut.,Inactivo,universidadfabriciopastor.com
44,f9b7f3e6-6943-11ed-a9ab-0242ac1c0002,Instituto Manuelita Patiño,manuelita.patiño@hotmail.com,0999934626,Necessitatibus enim commodi sequi excepturi omnis laudantium. Fugit reprehenderit exercitationem ad nihil. Alias sit consequatur error molestiae hic.,Activo,universidadmanuelitapatiño.com
45,f9b7f490-6943-11ed-a9ab-0242ac1c0002,Instituto Estela Palomar,estela.palomar@hotmail.com,0920725926,Voluptatum beatae dolorum ex. Voluptatem ipsa minima esse.,Inactivo,universidadestelapalomar.com
46,f9b7f530-6943-11ed-a9ab-0242ac1c0002,Instituto Carmen Arregui,carmen.arregui@hotmail.com,0948784086,Necessitatibus occaecati veniam autem modi consectetur. Rem possimus in sapiente. At assumenda tenetur.,Activo,universidadcarmenarregui.com
47,f9b7f5da-6943-11ed-a9ab-0242ac1c0002,Instituto María Belén Luna,maría belén.luna@hotmail.com,0911989112,Ullam quasi hic sed perferendis. Asperiores non voluptatem eaque perspiciatis.,Activo,universidadmaría belénluna.com
48,f9b7f670-6943-11ed-a9ab-0242ac1c0002,Instituto Valentina Tudela,valentina.tudela@hotmail.com,0991739448,Mollitia blanditiis voluptatum omnis optio hic odio. Nemo quis voluptatum possimus. Fugit nam soluta repellat ea.,Activo,universidadvalentinatudela.com
49,f9b7f706-6943-11ed-a9ab-0242ac1c0002,Instituto José Ángel Piquer,josé ángel.piquer@hotmail.com,0949596038,Nam accusantium dolorem molestias aspernatur porro. Delectus nobis perspiciatis pariatur adipisci.,Activo,universidadjosé ángelpiquer.com
50,f9b7f79c-6943-11ed-a9ab-0242ac1c0002,Instituto Brunilda Herrera,brunilda.herrera@hotmail.com,0923272107,Odio quas nemo corrupti assumenda ipsum voluptatem perspiciatis. Molestiae maiores error non. Quibusdam quae neque blanditiis officiis optio aut.,Inactivo,universidadbrunildaherrera.com
51,f9b7f83c-6943-11ed-a9ab-0242ac1c0002,Instituto Hugo Montserrat,hugo.montserrat@hotmail.com,0955082124,Modi modi modi modi doloribus. Fugit saepe dolorum mollitia ex modi sint.,Inactivo,universidadhugomontserrat.com
52,f9b7f8dc-6943-11ed-a9ab-0242ac1c0002,Instituto Elena Briones,elena.briones@hotmail.com,0923667070,Doloremque nihil modi molestiae distinctio itaque numquam. Praesentium minima totam quasi quia sunt. Cum quas eum vero.,Inactivo,universidadelenabriones.com
53,f9b7f968-6943-11ed-a9ab-0242ac1c0002,Instituto Bibiana Almazán,bibiana.almazán@hotmail.com,0951986604,Maiores sunt sapiente inventore vel expedita. Tenetur sit hic voluptatum. Autem quaerat eveniet.,Inactivo,universidadbibianaalmazán.com
54,f9b7f9f4-6943-11ed-a9ab-0242ac1c0002,Instituto Eligio Fuentes,eligio.fuentes@hotmail.com,0996137387,Eaque dolorem explicabo ut aliquid. Ex sapiente temporibus accusamus.,Activo,universidadeligiofuentes.com
55,f9b7fa8a-6943-11ed-a9ab-0242ac1c0002,Instituto Berta Sarmiento,berta.sarmiento@hotmail.com,0959507415,Explicabo reiciendis adipisci iure omnis reiciendis dignissimos. Blanditiis iure sapiente laudantium ipsa maxime architecto.,Activo,universidadbertasarmiento.com
56,f9b7fb34-6943-11ed-a9ab-0242ac1c0002,Instituto Adelia Lobo,adelia.lobo@hotmail.com,0960102805,Eligendi aliquid deleniti vitae magnam eveniet.,Inactivo,universidadadelialobo.com
57,f9b7fbca-6943-11ed-a9ab-0242ac1c0002,Instituto Ignacia Aramburu,ignacia.aramburu@hotmail.com,0939545004,Iste fugit doloribus neque autem odio. Assumenda provident ipsa sed quam reprehenderit eligendi voluptate. Exercitationem doloribus ipsa molestiae.,Inactivo,universidadignaciaaramburu.com
58,f9b7fc6a-6943-11ed-a9ab-0242ac1c0002,Instituto Leocadia Belda,leocadia.belda@hotmail.com,0962408405,Eius odit quia deleniti. Perspiciatis modi dolorum. Ut ratione ipsum asperiores vel ad soluta.,Activo,universidadleocadiabelda.com
59,f9b7fd0a-6943-11ed-a9ab-0242ac1c0002,Instituto Adán Villalobos,adán.villalobos@hotmail.com,0915006235,Aliquid nihil perspiciatis recusandae sunt officia reiciendis. Nihil a officia et nihil non quasi quisquam. Vitae rerum temporibus ratione praesentium velit.,Inactivo,universidadadánvillalobos.com
60,f9b7fda0-6943-11ed-a9ab-0242ac1c0002,Instituto Martina Robles,martina.robles@hotmail.com,0912887561,Laudantium beatae dolore veniam aliquam assumenda nam. Animi modi ducimus consequatur eligendi laboriosam. Omnis quas inventore officia perferendis.,Inactivo,universidadmartinarobles.com
61,f9b7fe40-6943-11ed-a9ab-0242ac1c0002,Instituto Yéssica Tudela,yéssica.tudela@hotmail.com,0926602168,Earum laudantium qui ipsam ex reprehenderit sequi. Dicta porro a esse eum.,Activo,universidadyéssicatudela.com
62,f9b7fed6-6943-11ed-a9ab-0242ac1c0002,Instituto Reinaldo Román,reinaldo.román@hotmail.com,0985237810,Sed accusamus ut laborum. Reprehenderit repellat dolore. Modi nulla ad ipsam assumenda eum.,Inactivo,universidadreinaldoromán.com
63,f9b7ffe4-6943-11ed-a9ab-0242ac1c0002,Instituto Custodio Escalona,custodio.escalona@hotmail.com,0941660784,Adipisci laboriosam tempora nobis unde inventore. In tempore iste repudiandae. Ex eveniet quae alias error mollitia cupiditate. Maiores aliquam suscipit quo suscipit autem repudiandae.,Activo,universidadcustodioescalona.com
64,f9b8008e-6943-11ed-a9ab-0242ac1c0002,Instituto Sosimo Tirado,sosimo.tirado@hotmail.com,0964821841,Aliquam cupiditate nam vero architecto earum. Modi deleniti occaecati eius. Natus suscipit laudantium minima.,Activo,universidadsosimotirado.com
65,f9b80138-6943-11ed-a9ab-0242ac1c0002,Instituto Hernán Arrieta,hernán.arrieta@hotmail.com,0958624692,Tenetur placeat ut eius assumenda minus laborum corporis. Libero culpa ipsum. Quas maiores labore.,Activo,universidadhernánarrieta.com
66,f9b801ce-6943-11ed-a9ab-0242ac1c0002,Instituto Mirta Arana,mirta.arana@hotmail.com,0915819252,Hic incidunt cum optio temporibus laborum. Deleniti minima nihil dolorum magnam accusamus. Vel repellendus at magnam asperiores quaerat beatae.,Activo,universidadmirtaarana.com
67,f9b8026e-6943-11ed-a9ab-0242ac1c0002,Instituto Lope Verdejo,lope.verdejo@hotmail.com,0958560768,Inventore eligendi omnis enim libero sed. Ab veritatis nostrum ducimus doloribus architecto. Nihil veritatis enim ex est.,Inactivo,universidadlopeverdejo.com
68,f9b802fa-6943-11ed-a9ab-0242ac1c0002,Instituto Nazaret Llano,nazaret.llano@hotmail.com,0978537041,Reiciendis illo occaecati adipisci tempore. Ipsa eaque odit illum id eum unde.,Activo,universidadnazaretllano.com
69,f9b80390-6943-11ed-a9ab-0242ac1c0002,Instituto Ariadna Pujadas,ariadna.pujadas@hotmail.com,0998062412,Mollitia aliquid quis possimus facere ad aliquid. Quia facilis magni dolore labore. Nihil a veniam quis eligendi explicabo repellat modi.,Activo,universidadariadnapujadas.com
70,f9b80426-6943-11ed-a9ab-0242ac1c0002,Instituto Toribio Sanz,toribio.sanz@hotmail.com,0924215803,Esse maxime consectetur. In a tenetur impedit.,Inactivo,universidadtoribiosanz.com
71,f9b804c6-6943-11ed-a9ab-0242ac1c0002,Instituto Aránzazu Pont,aránzazu.pont@hotmail.com,0954702177,Laudantium saepe officiis. Dicta quaerat debitis odit vel.,Inactivo,universidadaránzazupont.com
72,f9b80552-6943-11ed-a9ab-0242ac1c0002,Instituto Mohamed Cueto,mohamed.cueto@hotmail.com,0947213737,Unde odio distinctio magni vero alias. Cum facere odit deserunt odit quod amet.,Activo,universidadmohamedcueto.com
73,f9b805f2-6943-11ed-a9ab-0242ac1c0002,Instituto Buenaventura Cifuentes,buenaventura.cifuentes@hotmail.com,0986567106,Unde nesciunt odio culpa nemo dolorum. Repellendus aliquid dignissimos minima unde deserunt vitae. Atque perferendis atque sunt libero perspiciatis quia.,Inactivo,universidadbuenaventuracifuentes.com
74,f9b8067e-6943-11ed-a9ab-0242ac1c0002,Instituto Filomena Abellán,filomena.abellán@hotmail.com,0922596809,Debitis vitae suscipit expedita quam facere qui. Inventore sed possimus.,Activo,universidadfilomenaabellán.com
75,f9b80728-6943-11ed-a9ab-0242ac1c0002,Instituto Raúl Méndez,raúl.méndez@hotmail.com,0923363575,Harum magnam optio. At blanditiis earum quod at error.,Activo,universidadraúlméndez.com
76,f9b807dc-6943-11ed-a9ab-0242ac1c0002,Instituto Bautista Carlos,bautista.carlos@hotmail.com,0968552033,Possimus itaque sapiente libero. Natus facilis soluta nostrum.,Activo,universidadbautistacarlos.com
77,f9b80868-6943-11ed-a9ab-0242ac1c0002,Instituto María Teresa Campo,maría teresa.campo@hotmail.com,0989827406,Nemo aspernatur voluptate iure perspiciatis debitis. Laboriosam error officiis id natus. Laboriosam enim hic possimus. Mollitia inventore atque dolor repudiandae eaque commodi omnis.,Activo,universidadmaría teresacampo.com
78,f9b808fe-6943-11ed-a9ab-0242ac1c0002,Instituto Cloe Balaguer,cloe.balaguer@hotmail.com,0984033879,Nesciunt nam officia deleniti nobis voluptate voluptas. Accusantium ea delectus maiores mollitia ipsa.,Activo,universidadcloebalaguer.com
79,f9b809bc-6943-11ed-a9ab-0242ac1c0002,Instituto Teodosio Mir,teodosio.mir@hotmail.com,0980727751,Consequuntur sit veritatis architecto fugit. Culpa laudantium numquam ut quam natus aperiam.,Inactivo,universidadteodosiomir.com
80,f9b80a70-6943-11ed-a9ab-0242ac1c0002,Instituto Aristides Muñoz,aristides.muñoz@hotmail.com,0995930992,Repellendus hic blanditiis harum tenetur. Sit iste tempora. Accusantium illum repudiandae veniam.,Inactivo,universidadaristidesmuñoz.com
81,f9b80b24-6943-11ed-a9ab-0242ac1c0002,Instituto Leonor Lopez,leonor.lopez@hotmail.com,0925129264,Expedita sint accusantium velit fugit. Iure eos laudantium quod. Quo ipsa voluptatum unde animi.,Activo,universidadleonorlopez.com
82,f9b80be2-6943-11ed-a9ab-0242ac1c0002,Instituto Cayetana Cánovas,cayetana.cánovas@hotmail.com,0985263273,Minus praesentium a eius qui. Nam dicta praesentium consequuntur culpa. Similique corporis quidem nemo.,Activo,universidadcayetanacánovas.com
83,f9b80ca0-6943-11ed-a9ab-0242ac1c0002,Instituto Corona Cantero,corona.cantero@hotmail.com,0930472787,Cumque ipsum nihil possimus.,Inactivo,universidadcoronacantero.com
84,f9b80d40-6943-11ed-a9ab-0242ac1c0002,Instituto Feliciana Quesada,feliciana.quesada@hotmail.com,0997270153,Dolore cupiditate consectetur repellat distinctio cum pariatur.,Inactivo,universidadfelicianaquesada.com
85,f9b80dd6-6943-11ed-a9ab-0242ac1c0002,Instituto Aitana Herrero,aitana.herrero@hotmail.com,0925797085,Ipsam numquam exercitationem aliquam.,Activo,universidadaitanaherrero.com
86,f9b80e76-6943-11ed-a9ab-0242ac1c0002,Instituto Nicodemo Nogueira,nicodemo.nogueira@hotmail.com,0930291193,Ad inventore corporis impedit saepe. Doloremque optio nam. Nobis modi quasi quasi ipsam similique.,Activo,universidadnicodemonogueira.com
87,f9b80f0c-6943-11ed-a9ab-0242ac1c0002,Instituto Emilia Nieto,emilia.nieto@hotmail.com,0907035273,Distinctio dolorum inventore facere. Sapiente eum nisi porro. Impedit provident in a minus sequi minus.,Activo,universidademilianieto.com
88,f9b80fac-6943-11ed-a9ab-0242ac1c0002,Instituto Donato Pedrero,donato.pedrero@hotmail.com,0990623493,Ab est sint quam at quod. Culpa non provident corporis sapiente laborum voluptate culpa. Veniam officia explicabo minus dolore voluptas. Consequatur labore placeat optio aliquam vitae eaque.,Activo,universidaddonatopedrero.com
89,f9b8104c-6943-11ed-a9ab-0242ac1c0002,Instituto Jaime Ricart,jaime.ricart@hotmail.com,0947100550,Nemo optio possimus eligendi. Nemo enim laudantium non sequi dignissimos quae. Consequatur aperiam amet.,Inactivo,universidadjaimericart.com
90,f9b810e2-6943-11ed-a9ab-0242ac1c0002,Instituto Daniel Jove,daniel.jove@hotmail.com,0921531763,Autem doloribus minus pariatur enim quae atque. Quas aperiam neque debitis quo modi. Maiores at accusantium laboriosam. Porro commodi doloribus sit et quod saepe.,Inactivo,universidaddanieljove.com
91,f9b81178-6943-11ed-a9ab-0242ac1c0002,Instituto Pascual Palacios,pascual.palacios@hotmail.com,0956048057,Dolore voluptates inventore amet sed voluptates. Ad nihil minus hic ullam sunt.,Activo,universidadpascualpalacios.com
92,f9b81218-6943-11ed-a9ab-0242ac1c0002,Instituto Angelita Figueras,angelita.figueras@hotmail.com,0994296958,Nihil dicta voluptas maxime. Consectetur architecto tempore incidunt commodi dolorem aliquid quos.,Inactivo,universidadangelitafigueras.com
93,f9b812ae-6943-11ed-a9ab-0242ac1c0002,Instituto Piedad Torrent,piedad.torrent@hotmail.com,0915682351,Necessitatibus eum reiciendis. Occaecati consequuntur officiis odio temporibus.,Inactivo,universidadpiedadtorrent.com
94,f9b81358-6943-11ed-a9ab-0242ac1c0002,Instituto Rosaura Bernal,rosaura.bernal@hotmail.com,0908976189,Enim magni consequuntur sed. Voluptates corrupti labore a dolorem sint.,Inactivo,universidadrosaurabernal.com
95,f9b84418-6943-11ed-a9ab-0242ac1c0002,Instituto Montserrat Pol,montserrat.pol@hotmail.com,0900636644,Eius temporibus dolorem voluptas eveniet inventore. Occaecati autem ullam aspernatur ullam illum magnam aliquid. Culpa deserunt minus deserunt. Repellendus doloribus doloremque adipisci dolorum sint.,Activo,universidadmontserratpol.com
96,f9b85d22-6943-11ed-a9ab-0242ac1c0002,Instituto Marc Izaguirre,marc.izaguirre@hotmail.com,0997958398,Quae quisquam illo. Officiis exercitationem provident rerum.,Activo,universidadmarcizaguirre.com
97,f9b85eda-6943-11ed-a9ab-0242ac1c0002,Instituto Vera Santamaria,vera.santamaria@hotmail.com,0929573896,Magnam explicabo sint culpa tenetur eos quis. Vero non magnam dolores fugiat nemo.,Inactivo,universidadverasantamaria.com
98,f9b85fde-6943-11ed-a9ab-0242ac1c0002,Instituto Zoraida Prats,zoraida.prats@hotmail.com,0991032665,Ipsum iure blanditiis nesciunt. Quidem aspernatur minus hic quibusdam neque. Fugiat delectus alias magnam ab. Soluta quaerat magnam sed rerum cupiditate.,Inactivo,universidadzoraidaprats.com
99,f9b860ba-6943-11ed-a9ab-0242ac1c0002,Instituto Balduino Ribes,balduino.ribes@hotmail.com,0981319576,Mollitia voluptatibus fugit ad animi.,Inactivo,universidadbalduinoribes.com
100,f9b86178-6943-11ed-a9ab-0242ac1c0002,Instituto Fortunata Escrivá,fortunata.escrivá@hotmail.com,0918173588,Magnam temporibus doloribus eos. Deleniti ut odio vel delectus vel ea.,Inactivo,universidadfortunataescrivá.com
101,f9b863c6-6943-11ed-a9ab-0242ac1c0002,Instituto Loreto Mayoral,loreto.mayoral@hotmail.com,0971893532,Necessitatibus ex fugit nulla. Doloremque maiores quidem quidem non et dicta asperiores. Distinctio nobis veritatis rem modi nam.,Activo,universidadloretomayoral.com
102,f9b864de-6943-11ed-a9ab-0242ac1c0002,Instituto Darío Castellanos,darío.castellanos@hotmail.com,0972260209,Vel voluptas maxime vero repellat voluptas tenetur officiis. Ipsa a nam laboriosam. Commodi placeat temporibus. Commodi quos porro veniam.,Activo,universidaddaríocastellanos.com
103,f9b86592-6943-11ed-a9ab-0242ac1c0002,Instituto Dimas Leiva,dimas.leiva@hotmail.com,0998469870,Quam corrupti ratione quibusdam cum facere deserunt at. Neque ad libero accusantium veritatis.,Inactivo,universidaddimasleiva.com
104,f9b8665a-6943-11ed-a9ab-0242ac1c0002,Instituto Modesta Alemán,modesta.alemán@hotmail.com,0962549187,Minima pariatur unde aliquid aut maiores sed. Vel consequuntur culpa corrupti illo a cum harum. Perspiciatis nulla officia nesciunt dolor necessitatibus. Ipsa magnam nobis cupiditate.,Activo,universidadmodestaalemán.com
105,f9b86736-6943-11ed-a9ab-0242ac1c0002,Instituto Isabela Arjona,isabela.arjona@hotmail.com,0953960344,Nostrum eos sapiente temporibus quaerat tempore incidunt. Alias velit eum. Doloremque ad reiciendis iure.,Inactivo,universidadisabelaarjona.com
106,f9b867fe-6943-11ed-a9ab-0242ac1c0002,Instituto Priscila Pareja,priscila.pareja@hotmail.com,0967727843,Autem accusamus sapiente ipsum consectetur tenetur. Excepturi dicta fuga voluptatum reprehenderit.,Activo,universidadpriscilapareja.com
